Season,Team1,Team2,W_L_Seed,W_L_fg3_percentage,W_L_fg_percentage,W_L_or_percentage,W_L_dr_percentage
2017,1437,1438,-4,-0.0176138280833,0.0299132701572,-0.00662074568994,-0.0623650466791
2017,1181,1438,-3,-0.0101186771044,0.0101709406598,0.0136912580557,-0.0688528822442
2017,1124,1438,-2,-0.0351230194898,-0.000837061806633,0.0661779767545,-0.05776622165
2017,1196,1438,-1,-0.0298914811042,-0.0164343050265,0.0317502595466,-0.0561821108857
2017,1374,1438,1,0.00903234838203,0.00711704414451,0.0520400885368,-0.0232032982819
2017,1376,1438,2,-0.0596646529838,-0.0538053264469,0.0477037354155,-0.0537183650556
2017,1266,1438,5,0.0418051461692,0.0215562327082,-0.0157493563475,-0.0814869432976
2017,1344,1438,6,-0.0194353357494,-0.0198683548615,-0.000439518808475,-0.0620194038465
2017,1425,1438,6,-0.0264053873763,-0.0102475545887,0.0144704295685,-0.0989054254739
2017,1423,1438,7,-0.0269820679502,0.013819277853,0.0205341696978,-0.0862123801708
2017,1190,1438,8,-0.00872535034401,0.0284029147368,0.00620053765548,-0.032971088134
2017,1308,1438,9,-0.0448508613514,-0.000898854292945,0.0555571140813,-0.0397095500307
2017,1407,1438,10,-0.0338828364933,-0.0175086068283,0.0210267100036,-0.0729442419118
2017,1291,1438,11,-0.0333034478983,-0.0205181111405,-0.0249456280827,-0.101508890399
2017,1309,1438,11,-0.0818945517824,-0.00309074887959,0.0576999363482,-0.0863772453661
2017,1211,1438,-4,-0.00187640114193,0.05167808089,-0.00551976208138,0.00670158469269
2017,1112,1438,-3,0.00203203533704,0.00899080781678,0.022839995733,-0.0392321509622
2017,1199,1438,-2,-0.0422496496544,0.0158667361747,0.0296473637185,-0.0600676869735
2017,1323,1438,0,-0.00881744490094,-0.00623279166645,-0.00966365089062,-0.0887893804873
2017,1268,1438,1,-0.0112386249123,-0.0148805215095,0.0190912157606,-0.0756572600485
2017,1388,1438,2,0.0191456878275,0.0297972630252,0.0160617537008,-0.00427502052476
2017,1321,1438,3,-0.0427013804039,-0.0299835828218,0.0216626022884,-0.0497680193518
2017,1435,1438,4,-0.010800782044,-0.0331499965534,-0.0118607676519,-0.0465455953678
2017,1433,1438,5,-0.0563071572155,-0.00501239560722,0.023835565117,-0.031261319225
2017,1343,1438,7,-0.00642479493442,-0.0176519902537,-0.0206484225666,-0.0299657109916
2017,1137,1438,8,-0.0109780550981,0.01712493108,-0.0114378814225,-0.0512785496209
2017,1195,1438,9,-0.0397178293902,0.0208264199513,0.0292281452261,-0.0572703843679
2017,1315,1438,10,-0.00344510497,0.0081744945742,-0.0114014785552,-0.0520899526252
2017,1355,1438,11,-0.0244791326389,-0.0126151283395,-0.00233108841639,-0.0811101764494
2017,1242,1438,-4,0.0127767633769,0.0198977663203,0.0348161583371,-0.0650223310234
2017,1257,1438,-3,-0.0326492895029,-0.0122210163258,0.0507820480212,-0.0318376470846
2017,1332,1438,-2,-0.0153357424426,0.014049686012,0.0114745854514,-0.0685669515076
2017,1345,1438,-1,0.0220992912933,0.0135488013549,0.00472598351596,-0.04387977385
2017,1235,1438,0,0.0149550069498,0.00149912712704,-0.0188841491205,-0.0921623981109
2017,1166,1438,1,0.00767418252435,0.0406600823577,-0.0331118499743,-0.0682623030264
2017,1276,1438,2,-0.00276365455086,0.016404552549,-0.0260418591105,-0.0930880080171
2017,1274,1438,3,-0.0330200788701,-0.0148198456897,0.0358787522511,-0.0507816582842
2017,1277,1438,4,-0.00724821803268,-0.00137089491137,0.00816258374755,-0.0330598724548
2017,1329,1438,5,0.021265625782,0.0014568209575,0.0577366305849,-0.0900100636908
2017,1348,1438,6,-0.0526534932805,-0.0135414367223,0.040970976944,-0.0216427234687
2017,1305,1438,7,0.000368844946186,-0.0145569533652,0.0218464495031,-0.0523492852554
2017,1436,1438,8,-0.0177415680536,0.0288880487915,0.00488751992595,-0.0538728304323
2017,1233,1438,9,0.0160494572395,-0.0111658134912,-0.00893523630361,-0.0763506897948
