Season,Team1,Team2,W_L_Seed,W_L_dr_percentage,W_L_fg3_percentage,W_L_fg_percentage,W_L_or_percentage,label
2003,1421,1411,0.0,-0.0307470775163,0.0420800117651,-0.0161231699551,-0.022393418091,1.0
2003,1112,1436,-15.0,-0.0428175771629,-0.00685928807104,0.0171905612895,-0.00129024669025,1.0
2003,1112,1211,-8.0,-0.0255658788371,-0.0188885465075,-0.00718820767135,0.0156389433316,1.0
2003,1112,1323,-4.0,0.00857230127534,-0.0329953010216,0.0125761513043,0.0455776502402,1.0
2003,1113,1272,3.0,-0.030594855407,-0.0150647220804,0.0422224856283,0.00621132424656,1.0
2003,1141,1166,5.0,-0.0176968416788,-0.00743232951769,0.00804051751029,0.00931189931947,1.0
2003,1143,1301,-1.0,-0.00331950606211,0.0253706282047,0.0102338000835,0.0093500169416,1.0
2003,1163,1140,-7.0,-0.0517880919777,0.00599024358119,0.00373550040184,0.0254148062118,1.0
2003,1163,1390,1.0,-0.00970225646699,0.0252735358521,0.029501932541,0.000202916154967,1.0
2003,1181,1161,-11.0,-0.00500174864502,0.00512939382778,-0.0483329436744,0.0187193843605,1.0
2003,1181,1141,-8.0,-0.00125625772649,-0.0118867062295,-0.0467888141442,0.0263608459383,1.0
2003,1211,1153,1.0,0.00880109481907,0.0174668308161,0.0649830983604,0.00272225135344,1.0
2003,1228,1443,-9.0,0.0547353531276,0.00379959265333,0.0203431990872,-0.0459484329208,1.0
2003,1242,1429,-13.0,0.00593115025824,0.0172387963363,0.0310476774208,-0.0126665831951,1.0
2003,1242,1113,-8.0,0.02590101665,0.0122669738918,0.00565329518569,-0.0123102082262,1.0
2003,1242,1181,-1.0,0.0431505801816,-0.0249515664217,0.0277729143516,0.00183476111651,1.0
2003,1242,1112,1.0,0.0187087562407,-0.0104171661908,0.0237705842413,-0.00308519621965,1.0
2003,1242,1266,-1.0,0.0334844067474,-0.0506242262702,0.0026580696557,-0.00469502699782,1.0
2003,1266,1221,-11.0,-0.0714601298421,0.0289356523707,0.0252208306748,0.00473815790197,1.0
2003,1266,1281,-3.0,-0.0220993010054,0.0322372424585,0.0411877970611,0.00772599770845,1.0
2003,1266,1338,1.0,-0.0585139703643,0.0259254005936,-0.0173965208856,0.0228871462351,1.0
2003,1266,1246,2.0,-0.0183216066355,0.0421684173106,-0.0024552745603,0.0125579297247,1.0
2003,1281,1356,-5.0,0.0173505990078,-0.0358190936344,-0.0297738926912,0.0379970499921,1.0
2003,1323,1454,-7.0,-0.00795446357485,0.0230005703752,-0.023322807845,-0.014904624657,1.0
2003,1323,1228,1.0,-0.0516148278887,0.0117487444691,-0.0339779623654,0.0139293741764,1.0
2003,1328,1354,-15.0,0.0498039572625,0.0596078227235,-0.0132518539884,-0.0255757796201,1.0
2003,1328,1143,-7.0,0.0550475912747,0.0152906022022,-0.0225203753499,0.0228898811197,1.0
2003,1328,1139,-11.0,0.0736476587403,0.000502650272556,-0.0315089473478,0.0589668186737,1.0
2003,1390,1360,-9.0,-0.000407075924021,-0.0198749575953,-0.0279059551395,0.0211702266045,1.0
2003,1409,1173,9.0,0.030169526677,-0.0107318580017,0.0095847270134,-0.0543395733148,1.0
2003,1458,1451,-7.0,0.0164325910128,0.02284172942,-0.000296141015456,-0.00632150855379,1.0
2003,1458,1409,-8.0,-0.00458025503729,0.00678039959408,0.00422378117273,-0.00666386196987,1.0
2003,1120,1386,3.0,-0.0476470758509,-0.00728333470465,0.0234104634646,0.0142437517446,1.0
2003,1120,1448,8.0,-0.0544053303536,0.0141765747556,0.0120909087668,-0.0363486406249,1.0
2003,1139,1280,7.0,-0.057727659077,0.0451179122911,0.00615212264435,-0.0721120834705,1.0
2003,1139,1257,8.0,-0.0547168056251,0.0314958269779,0.0187022353239,-0.0637415364816,1.0
2003,1196,1358,-13.0,-0.0271576455803,0.0300884844869,0.018694004403,-0.0129323247308,1.0
2003,1231,1104,-3.0,0.00615345904003,0.0184180814745,0.0110554028739,-0.0346312793671,1.0
2003,1246,1237,-15.0,0.0369746372448,0.0087809227403,0.029724388069,0.00692896737186,1.0
2003,1246,1428,-8.0,-0.0480710539357,-0.0482736961663,0.0286325482147,0.0205347806593,1.0
2003,1246,1458,-4.0,-0.00632393925822,-0.00984774133633,0.0209142912754,0.0305888532856,1.0
2003,1257,1122,-9.0,0.0238197850483,0.00568493995641,0.00221703214106,0.0115723444083,1.0
2003,1268,1423,-5.0,-0.00274126987907,0.0353171013201,0.00104862082736,0.041883723376,1.0
2003,1268,1462,3.0,0.0272052771112,0.0403472873034,0.0124789556824,-0.0157723076624,1.0
2003,1277,1160,-3.0,0.0420779334661,0.034132549815,0.00825421011678,-0.0264271543105,1.0
2003,1277,1196,5.0,0.0593074871154,-0.0274675592151,-0.0234409064401,0.0170002926395,1.0
2003,1277,1268,1.0,0.0415075372188,-0.0363547700372,-0.0111937151033,-0.0109711492716,1.0
2003,1329,1335,-5.0,-0.04147289947,-0.065702901479,-0.0243284643054,0.0447440800554,1.0
2003,1338,1447,-13.0,0.0814590220671,-0.0428247115145,0.0259553845658,0.00185517223695,1.0
2003,1338,1231,-5.0,0.0355284605926,0.0214820677581,0.0713398402627,0.00709594693725,1.0
2003,1345,1261,1.0,-0.00730518447538,-0.0567974131225,-0.0533169380117,-0.000143967756648,1.0
2003,1393,1264,-11.0,-0.0112189469711,-0.00608280567707,0.0190932652343,0.0300052827906,1.0
2003,1393,1329,-3.0,-0.0155209189116,-0.0199147532005,0.0278203954104,0.00223357588245,1.0
2003,1393,1120,-7.0,0.0188254375275,-0.0165284664207,0.00205767509994,0.00698749248894,1.0
2003,1393,1328,2.0,-0.0538698421443,-0.0520913219443,0.0258925844632,0.0145205369701,1.0
2003,1393,1400,2.0,-0.0280582973288,-0.0100741402836,0.0231729823544,-0.0333550300295,1.0
2003,1393,1242,1.0,-0.0311128392358,-0.00150948869878,-0.0152200699663,-0.000955656839389,1.0
2003,1400,1421,-15.0,0.0621884641517,-0.0142862129489,0.0161717085357,0.0458301307531,1.0
2003,1400,1345,-8.0,0.0126077637693,0.0307846795153,0.0139446388068,0.0681791521021,1.0
