1102,1119,2014,1,1
1103,1157,2014,1,1
1107,1373,2014,0.428571,1
1112,1142,2014,1,1
1113,1420,2014,1,1
1116,1188,2014,1,1
1120,1311,2014,1,1
1124,1160,2014,0.5,1
1125,1252,2014,0.692308,1
1129,1426,2014,1,1
1133,1240,2014,1,1
1140,1451,2014,1,1
1143,1164,2014,1,1
1150,1190,2014,1,1
1153,1300,2014,1,1
1155,1391,2014,1,1
1163,1268,2014,1,1
1108,1166,2014,0,0
1172,1181,2014,0,0
1184,1198,2014,1,1
1196,1316,2014,1,1
1199,1239,2014,1,1
1200,1384,2014,1,1
1201,1414,2014,0,1
1203,1347,2014,1,1
1110,1206,2014,0,0
1208,1459,2014,0.5,1
1210,1342,2014,1,1
1214,1456,2014,0.2,1
1218,1398,2014,0.75,1
1222,1402,2014,0.5,1
1106,1228,2014,0,0
1152,1231,2014,0,0
1234,1423,2014,0,1
1242,1419,2014,1,1
1246,1421,2014,1,1
1213,1258,2014,0,0
1127,1259,2014,0,0
1260,1454,2014,0.333333,1
1266,1380,2014,1,1
1267,1354,2014,1,1
1262,1276,2014,0,0
1270,1277,2014,0,0
1250,1278,2014,0,0
1279,1407,2014,1,1
1280,1341,2014,1,1
1281,1368,2014,1,1
1283,1330,2014,0,1
1220,1284,2014,0,0
1243,1294,2014,1,0
1111,1301,2014,0,0
1296,1303,2014,1,0
1195,1304,2014,0,0
1314,1324,2014,0.333333,1
1275,1323,2014,0,0
1104,1328,2014,0.5,0
1290,1329,2014,0,0
1207,1332,2014,1,0
1305,1334,2014,0.4,0
1338,1366,2014,1,1
1339,1413,2014,0,1
1130,1344,2014,0.571429,0
1297,1345,2014,0,0
1263,1348,2014,1,0
1174,1350,2014,0,0
1197,1353,2014,0,0
1358,1410,2014,1,1
1355,1360,2014,1,0
1361,1415,2014,1,1
1374,1395,2014,0.5,1
1178,1375,2014,0,0
1238,1379,2014,0,0
1274,1383,2014,1,0
1369,1387,2014,0,0
1256,1388,2014,0.076923,0
1137,1390,2014,0,0
1265,1392,2014,0,0
1165,1393,2014,0,0
1273,1400,2014,0,0
1138,1401,2014,0.384615,0
1223,1403,2014,0,0
1298,1406,2014,1,0
1312,1408,2014,0,0
1313,1411,2014,0,0
1180,1417,2014,0,0
1219,1422,2014,0.5,0
1340,1424,2014,0,0
1425,1429,2014,0,0
1237,1430,2014,0.5,0
1229,1433,2014,0.571429,0
1293,1434,2014,0,0
1248,1437,2014,0,0
1241,1438,2014,0,0
1154,1440,2014,1,0
1308,1444,2014,0.5,0
1159,1448,2014,0,0
1167,1450,2014,0,0
1291,1452,2014,0,0
1385,1458,2014,0,0
1404,1461,2014,0,0
1205,1462,2014,0,0
1244,1464,2014,0,0
1119,1154,2014,0,1
1139,1249,2014,1,1
1156,1233,2014,1,1
1162,1271,2014,1,1
1168,1286,2014,1,1
1173,1236,2014,1,1
1177,1212,2014,1,1
1179,1227,2014,0.5,1
1101,1182,2014,0,0
1184,1244,2014,1,1
1193,1357,2014,1,1
1136,1211,2014,0,0
1218,1444,2014,1,1
1225,1442,2014,1,1
1123,1232,2014,0.428571,0
1254,1389,2014,0.666667,1
1158,1257,2014,0,0
1258,1355,2014,1,1
1247,1264,2014,0.333333,0
1105,1307,2014,0,0
1308,1398,2014,1,1
1319,1427,2014,1,1
1183,1321,2014,0,0
1320,1325,2014,0.5,0
1288,1326,2014,0,0
1336,1447,2014,1,1
1216,1346,2014,0,0
1352,1366,2014,0.5,1
1213,1360,2014,0.2,0
1367,1439,2014,0,1
1310,1371,2014,0.285714,0
1255,1376,2014,0,0
1378,1399,2014,1,1
1377,1382,2014,0,0
1386,1436,2014,1,1
1335,1396,2014,0.166667,0
1102,1440,2014,0,0
1148,1463,2014,0,0
1198,1464,2014,0.5,0
1131,1318,2014,0.3,1
1106,1133,2014,0,0
1127,1135,2014,0,0
1149,1174,2014,1,1
1160,1404,2014,1,1
1164,1333,2014,0,1
1189,1265,2014,0,1
1198,1244,2014,1,1
1217,1221,2014,0.333333,1
1192,1220,2014,0,0
1228,1240,2014,0.923077,1
1234,1303,2014,1,1
1235,1423,2014,1,1
1246,1297,2014,1,1
1165,1259,2014,1,0
1130,1269,2014,0.714286,0
1292,1380,2014,1,1
1323,1391,2014,1,1
1331,1409,2014,0.166667,1
1197,1343,2014,1,0
1370,1449,2014,0,0
1184,1464,2014,0.333333,0
1112,1253,2014,1,1
1117,1238,2014,1,1
1140,1390,2014,0.5,1
1145,1377,2014,1,1
1163,1463,2014,1,1
1166,1282,2014,1,1
1175,1210,2014,0,0
1161,1211,2014,0,0
1222,1410,2014,1,1
1245,1396,2014,0.5,1
1204,1274,2014,0,0
1218,1308,2014,0.333333,0
1114,1316,2014,1,0
1317,1328,2014,0,0
1151,1347,2014,1,0
